Holdings details

Large-Cap ETF (VV)


Equity,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2090571,Verizon Communications Inc.,VZ,0.34%,Integrated Telecommunication Services,US,---,"$145,287,576.06","4,153,447"
,2126335,Bristol-Myers Squibb Co.,BMY,0.33%,Pharmaceuticals,US,---,"$142,178,956.20","2,306,228"
,2046552,Applied Materials Inc.,AMAT,0.33%,Semiconductor Materials & Equipment,US,---,"$141,718,048.92","927,717"
,2714923,QUALCOMM Inc.,QCOM,0.33%,Semiconductors,US,---,"$140,058,737.00","1,222,900"
,BM5M5Y3,RTX Corp.,RTX,0.32%,Aerospace & Defense,US,---,"$137,995,942.32","1,603,858"
,BYV2325,S&P Global Inc.,SPGI,0.32%,Financial Exchanges & Data,US,---,"$137,631,186.64","352,124"
,2640147,NIKE Inc.,NKE,0.32%,Footwear,US,---,"$137,566,131.43","1,352,533"
,2020459,Honeywell International Inc.,HON,0.32%,Industrial Conglomerates,US,---,"$137,341,289.68","730,772"
,BL59CR9,General Electric Co.,GE,0.32%,Industrial Conglomerates,US,---,"$136,823,767.10","1,195,385"
,2517382,United Parcel Service Inc.,UPS,0.32%,Air Freight & Logistics,US,---,"$134,788,192.00","795,680"
,B80NXX8,ServiceNow Inc.,NOW,0.31%,Systems Software,US,---,"$131,714,205.04","223,688"
,B44WZD7,Prologis Inc.,PLD,0.30%,Industrial REITs,US,---,"$125,917,065.00","1,013,825"
,BDRXDB4,Booking Holdings Inc.,BKNG,0.30%,"Hotels, Resorts & Cruise Lines",US,---,"$125,887,231.29","40,543"
,2522096,Lockheed Martin Corp.,LMT,0.29%,Aerospace & Defense,US,---,"$124,643,093.40","278,004"
,2842255,Starbucks Corp.,SBUX,0.29%,Restaurants,US,---,"$122,617,521.60","1,258,390"
,2261203,Deere & Co.,DE,0.28%,Agricultural & Farm Machinery,US,---,"$120,306,383.46","292,759"
,2871301,Intuitive Surgical Inc.,ISRG,0.28%,Health Care Equipment,US,---,"$120,282,680.44","384,683"
,2407966,Goldman Sachs Group Inc.,GS,0.28%,Investment Banking & Brokerage,US,---,"$119,573,186.25","364,875"
,BTN1Y11,Medtronic plc,MDT,0.28%,Health Care Equipment,US,---,"$119,028,468.00","1,460,472"
,2262314,Morgan Stanley,MS,0.28%,Investment Banking & Brokerage,US,---,"$117,065,923.00","1,374,820"
,2989301,TJX Cos. Inc.,TJX,0.28%,Apparel Retail,US,---,"$116,892,870.40","1,263,980"
,2831811,AT&T Inc.,T,0.27%,Integrated Telecommunication Services,US,---,"$116,075,173.80","7,848,220"
,2065308,Automatic Data Processing Inc.,ADP,0.27%,Human Resource & Employment Services,US,---,"$115,472,764.08","453,528"
,BSPHGL4,Elevance Health Inc.,ELV,0.27%,Managed Health Care,US,---,"$115,028,240.39","260,239"
,B8CKK03,Mondelez International Inc.,MDLZ,0.25%,Packaged Foods & Meats,US,---,"$106,529,353.14","1,494,939"
,2853688,Stryker Corp.,SYK,0.25%,Health Care Equipment,US,---,"$106,347,695.90","375,058"
,2567741,Marsh & McLennan Cos. Inc.,MMC,0.25%,Insurance Brokers,US,---,"$105,955,031.13","543,387"
,2369174,Gilead Sciences Inc.,GILD,0.25%,Biotechnology,US,---,"$104,849,720.64","1,370,943"
,2502247,Lam Research Corp.,LRCX,0.24%,Semiconductor Materials & Equipment,US,---,"$103,594,868.80","147,487"
,B8KQN82,Eaton Corp. plc,ETN,0.24%,Electrical Components & Equipment,US,---,"$100,802,309.79","437,567"
,2032067,Analog Devices Inc.,ADI,0.24%,Semiconductors,US,---,"$100,062,982.36","550,462"
,BK6N347,Uber Technologies Inc.,UBER,0.23%,Passenger Ground Transportation,US,---,"$99,690,769.73","2,110,751"
,2931034,Vertex Pharmaceuticals Inc.,VRTX,0.23%,Biotechnology,US,---,"$98,488,258.24","282,736"
,2494504,BlackRock Inc.,BLK,0.23%,Asset Management & Custody Banks,US,---,"$97,888,555.82","139,733"
,2779397,Charles Schwab Corp.,SCHW,0.23%,Investment Banking & Brokerage,US,---,"$97,648,664.75","1,650,865"
,2026082,American Express Co.,AXP,0.23%,Consumer Finance,US,---,"$96,683,086.43","611,957"
,2730190,Regeneron Pharmaceuticals Inc.,REGN,0.22%,Biotechnology,US,---,"$92,974,339.57","112,493"
,B7FBFL2,American Tower Corp.,AMT,0.22%,Telecom Tower REITs,US,---,"$92,771,471.40","511,645"
,2779201,Schlumberger NV,SLB,0.22%,Oil & Gas Equipment & Services,US,---,"$92,255,183.68","1,564,708"
,2577609,CVS Health Corp.,CVS,0.22%,Health Care Services,US,---,"$91,723,777.18","1,407,454"
,B3BQMF6,Chubb Ltd.,CB,0.21%,Property & Casualty Insurance,US,---,"$91,308,471.55","454,565"
,B94Q9V0,T-Mobile US Inc.,TMUS,0.21%,Wireless Telecommunication Services,US,---,"$89,738,473.75","658,631"
,BHJ0775,Cigna Group,CI,0.21%,Health Care Services,US,---,"$89,738,088.32","324,832"
,2087807,Becton Dickinson & Co.,BDX,0.21%,Health Care Equipment,US,---,"$87,222,213.45","312,121"
,B95WG16,Zoetis Inc.,ZTS,0.20%,Pharmaceuticals,US,---,"$86,999,820.68","456,668"
,2692632,Altria Group Inc.,MO,0.20%,Tobacco,US,---,"$86,631,578.88","1,959,104"
,2113434,Boston Scientific Corp.,BSX,0.20%,Health Care Equipment,US,---,"$86,547,754.86","1,604,519"
,2705024,Progressive Corp.,PGR,0.20%,Property & Casualty Insurance,US,---,"$85,758,345.63","642,529"
,2588184,Micron Technology Inc.,MU,0.20%,Semiconductors,US,---,"$84,035,008.20","1,201,530"
,2297907,Citigroup Inc.,C,0.20%,Diversified Banks,US,---,"$83,798,922.09","2,029,521"
,2318024,EOG Resources Inc.,EOG,0.19%,Oil & Gas Exploration & Production,US,---,"$82,591,146.46","642,133"
,BKF2SL7,Blackstone Inc.,BX,0.19%,Asset Management & Custody Banks,US,---,"$82,463,448.87","775,251"
,B87ZMX0,Palo Alto Networks Inc.,PANW,0.19%,Systems Software,US,---,"$81,663,158.40","335,648"
,2829601,Southern Co.,SO,0.19%,Electric Utilities,US,---,"$81,154,966.49","1,198,213"
,BVLZX12,Equinix Inc.,EQIX,0.19%,Data Center REITs,US,---,"$80,228,191.50","102,675"
,2965839,CME Group Inc.,CME,0.19%,Financial Exchanges & Data,US,---,"$80,030,832.84","394,863"
,2342034,Fiserv Inc.,FI,0.18%,Transaction & Payment Processing Service,US,---,"$78,062,145.91","643,069"
,2867719,Synopsys Inc.,SNPS,0.18%,Application Software,US,---,"$76,661,245.62","167,058"
,BYW36M8,PayPal Holdings Inc.,PYPL,0.18%,Transaction & Payment Processing Service,US,---,"$76,521,241.44","1,224,144"
,2480138,KLA Corp.,KLAC,0.18%,Semiconductor Materials & Equipment,US,---,"$75,601,194.93","150,639"
,2575818,Activision Blizzard Inc.,ATVI,0.18%,Interactive Home Entertainment,US,---,"$75,386,908.88","819,512"
,B7VD3F2,Duke Energy Corp.,DUK,0.18%,Electric Utilities,US,---,"$75,153,304.80","846,321"
,BFSSDS9,Intercontinental Exchange Inc.,ICE,0.17%,Financial Exchanges & Data,US,---,"$72,512,052.39","614,561"
,2011602,Air Products and Chemicals Inc.,APD,0.17%,Industrial Gases,US,---,"$72,032,483.77","243,773"
,2302232,Cadence Design Systems Inc.,CDNS,0.17%,Application Software,US,---,"$71,985,572.04","299,391"
,BLP1HW5,Aon plc,AON,0.17%,Insurance Brokers,US,---,"$71,017,070.85","213,015"
,2457552,Illinois Tool Works Inc.,ITW,0.17%,Industrial Machinery & Supplies & Components,US,---,"$70,164,043.05","283,663"
,2937667,Waste Management Inc.,WM,0.16%,Environmental & Facilities Services,US,---,"$70,010,422.56","446,552"
,2804211,Sherwin-Williams Co.,SHW,0.16%,Specialty Chemicals,US,---,"$69,213,877.00","254,725"
,2160753,CSX Corp.,CSX,0.16%,Rail Transportation,US,---,"$67,380,850.80","2,231,154"
,2209106,Colgate-Palmolive Co.,CL,0.16%,Household Products,US,---,"$66,884,516.55","910,365"
,B3K3L40,Marathon Petroleum Corp.,MPC,0.16%,Oil & Gas Refining & Marketing,US,---,"$66,478,994.49","465,637"
